"fips","known","total"
1001,0,0
1003,0,0
1005,0,0
1007,0,0
1009,0,0
1011,0,0
1013,0,0
1015,0,0
1017,0,0
1019,0,0
1021,0,0
1023,0,0
1025,0,0
1027,0,0
1029,0,0
1031,0,0
1033,0,0
1035,0,0
1037,0,0
1039,0,0
1041,0,0
1043,0,0
1045,0,0
1047,0,0
1049,0,0
1051,0,0
1053,0,0
1055,0,0
1057,0,0
1059,0,0
1061,0,0
1063,0,0
1065,0,0
1067,0,0
1069,0,0
1071,0,0
1073,0,0
1075,0,0
1077,0,0
1079,0,0
1081,0,0
1083,0,0
1085,0,0
1087,0,0
1089,0,0
1091,0,0
1093,0,0
1095,0,0
1097,0,0
1099,0,0
1101,0,0
1103,0,0
1105,0,0
1107,0,0
1109,0,0
1111,0,0
1113,0,0
1115,0,0
1117,0,0
1119,0,0
1121,0,0
1123,0,0
1125,0,0
1127,0,0
1129,0,0
1131,0,0
1133,0,0
4001,0,0
4003,0,0
4005,0,0
4007,0,0
4009,0,0
4011,0,0
4012,0,0
4013,0,0
4015,0,0
4017,0,0
4019,0,0
4021,0,0
4023,0,0
4025,0,0
4027,0,0
5001,0,0
5003,0,0
5005,0,0
5007,0,0
5009,0,0
5011,0,0
5013,0,0
5015,0,0
5017,0,0
5019,0,0
5021,0,0
5023,0,0
5025,0,0
5027,0,0
5029,0,0
5031,0,0
5033,0,0
5035,0,0
5037,0,0
5039,0,0
5041,0,0
5043,0,0
5045,0,0
5047,0,0
5049,0,0
5051,0,0
5053,0,0
5055,0,0
5057,0,0
5059,0,0
5061,0,0
5063,0,0
5065,0,0
5067,0,0
5069,0,0
5071,0,0
5073,0,0
5075,0,0
5077,0,0
5079,0,0
5081,0,0
5083,0,0
5085,0,0
5087,0,0
5089,0,0
5091,0,0
5093,0,0
5095,0,0
5097,0,0
5099,0,0
5101,0,0
5103,0,0
5105,0,0
5107,0,0
5109,0,0
5111,0,0
5113,0,0
5115,0,0
5117,0,0
5119,0,0
5121,0,0
5123,0,0
5125,0,0
5127,0,0
5129,0,0
5131,0,0
5133,0,0
5135,0,0
5137,0,0
5139,0,0
5141,0,0
5143,0,0
5145,0,0
5147,0,0
5149,0,0
6001,0,0
6003,0,0
6005,0,0
6007,0,0
6009,0,0
6011,0,0
6013,0,0
6015,0,0
6017,0,0
6019,0,0
6021,0,0
6023,0,0
6025,0,0
6027,0,0
6029,0,0
6031,0,0
6033,0,0
6035,0,0
6037,0,0
6039,0,0
6041,0,0
6043,0,0
6045,0,0
6047,0,0
6049,0,0
6051,0,0
6053,0,0
6055,0,0
6057,0,0
6059,0,0
6061,0,0
6063,0,0
6065,0,0
6067,0,0
6069,0,0
6071,0,0
6073,0,0
6075,0,0
6077,0,0
6079,0,0
6081,0,0
6083,0,0
6085,0,0
6087,0,0
6089,0,0
6091,0,0
6093,0,0
6095,0,0
6097,0,0
6099,0,0
6101,0,0
6103,0,0
6105,0,0
6107,0,0
6109,0,0
6111,0,0
6113,0,0
6115,0,0
8001,0,0
8003,0,0
8005,0,0
8007,0,0
8009,0,0
8011,0,0
8013,0,0
8015,0,0
8017,0,0
8019,0,0
8021,0,0
8023,0,0
8025,0,0
8027,0,0
8029,0,0
8031,0,0
8033,0,0
8035,0,0
8037,0,0
8039,0,0
8041,0,0
8043,0,0
8045,0,0
8047,0,0
8049,0,0
8051,0,0
8053,0,0
8055,0,0
8057,0,0
8059,0,0
8061,0,0
8063,0,0
8065,0,0
8067,0,0
8069,0,0
8071,0,0
8073,0,0
8075,0,0
8077,0,0
8079,0,0
8081,0,0
8083,0,0
8085,0,0
8087,0,0
8089,0,0
8091,0,0
8093,0,0
8095,0,0
8097,0,0
8099,0,0
8101,0,0
8103,0,0
8105,0,0
8107,0,0
8109,0,0
8111,0,0
8113,0,0
8115,0,0
8117,0,0
8119,0,0
8121,0,0
8123,0,0
8125,0,0
9001,0,0
9003,0,0
9005,0,0
9007,0,0
9009,0,0
9011,0,0
9013,0,0
9015,0,0
10001,119000,119000
10003,49000,49000
10005,187000,187000
11001,0,0
12001,0,0
12003,0,0
12005,0,0
12007,0,0
12009,0,0
12011,0,0
12013,0,4000
12015,0,0
12017,0,0
12019,0,0
12021,0,0
12023,0,0
12027,0,0
12029,0,0
12031,0,0
12033,0,7400
12035,0,0
12037,0,0
12039,0,0
12041,0,0
12043,0,22000
12045,0,0
12047,0,4900
12049,0,0
12051,0,49000
12053,0,0
12055,0,0
12057,0,0
12059,0,5700
12061,0,0
12063,0,34000
12065,0,0
12067,0,0
12069,0,0
12071,0,0
12073,0,0
12075,0,0
12077,0,0
12079,0,8500
12081,0,0
12083,0,0
12085,0,8000
12086,0,0
12087,0,0
12089,0,0
12091,0,2400
12093,0,0
12095,0,0
12097,0,0
12099,0,295000
12101,0,0
12103,0,0
12105,0,0
12107,0,0
12109,0,0
12111,0,0
12113,0,17800
12115,0,0
12117,0,0
12119,0,0
12121,0,10200
12123,0,0
12125,0,0
12127,0,0
12129,0,0
12131,0,0
12133,0,4100
13001,8300,47950
13003,2100,17700
13005,2400,17200
13007,7200,49300
13009,0,0
13011,0,0
13013,0,0
13015,3000,3000
13017,3700,15300
13019,5000,50440
13021,0,0
13023,8000,19800
13025,0,900
13027,6900,55300
13029,0,0
13031,7800,72100
13033,20900,67200
13035,0,0
13037,12700,44500
13039,0,0
13043,1800,1800
13045,0,0
13047,0,0
13049,0,0
13051,0,0
13053,0,0
13055,1000,1000
13057,0,0
13059,0,0
13061,1100,18300
13063,0,0
13065,0,0
13067,0,0
13069,6800,62020
13071,3300,80800
13073,0,0
13075,1100,31000
13077,1000,1000
13079,0,0
13081,0,47800
13083,0,0
13085,0,0
13087,14400,70400
13089,0,0
13091,5500,22500
13093,12000,94700
13095,0,6300
13097,0,0
13099,9800,73900
13101,800,800
13103,6000,6000
13105,0,0
13107,2400,28800
13109,1500,7500
13111,0,0
13113,0,0
13115,6200,6200
13117,0,0
13119,0,0
13121,0,0
13123,0,0
13125,0,0
13127,0,0
13129,3800,3800
13131,12900,45600
13133,0,0
13135,0,0
13137,0,0
13139,800,800
13141,0,0
13143,0,0
13145,0,0
13147,2300,2300
13149,0,0
13151,0,0
13153,3300,3300
13155,9800,69010
13157,0,0
13159,0,0
13161,1000,30800
13163,23800,45900
13165,3800,30700
13167,4500,8400
13169,0,0
13171,2000,2000
13173,1900,11110
13175,18600,27000
13177,0,16000
13179,0,0
13181,0,0
13183,0,0
13185,1200,1200
13187,0,0
13189,0,0
13191,0,0
13193,21200,40400
13195,0,0
13197,1500,2900
13199,0,0
13201,8800,70300
13205,16100,96100
13207,0,0
13209,3800,8500
13211,1400,1400
13213,0,0
13215,0,0
13217,0,0
13219,800,800
13221,0,0
13223,0,0
13225,0,0
13227,0,0
13229,3900,20220
13231,0,0
13233,0,0
13235,0,25200
13237,0,0
13239,0,0
13241,0,0
13243,9800,31900
13245,0,0
13247,0,0
13249,0,0
13251,6500,43500
13253,14200,61900
13255,0,0
13257,0,0
13259,0,2600
13261,11200,46700
13263,0,0
13265,0,0
13267,13700,26900
13269,7000,7000
13271,0,9100
13273,21700,55600
13275,3100,33900
13277,2400,37900
13279,6500,12900
13281,0,0
13283,0,3300
13285,0,0
13287,2700,42100
13289,0,0
13291,0,0
13293,0,0
13295,3300,3300
13297,0,0
13299,4000,4000
13301,0,0
13303,10800,10800
13305,2300,16900
13307,0,12500
13309,2800,6100
13311,900,900
13313,800,800
13315,2800,43900
13317,0,0
13319,0,0
13321,11400,93600
16001,31000,33100
16003,8000,8000
16005,60600,64300
16007,24500,24500
16009,36500,36500
16011,237100,318800
16013,30100,30100
16015,1200,1200
16017,4300,4900
16019,169000,190500
16021,29800,29800
16023,45500,45500
16025,59300,59300
16027,69000,96900
16029,110900,122500
16031,170100,236400
16033,14500,14500
16035,12700,12700
16037,24600,24600
16039,50600,65800
16041,60100,60100
16043,110400,132900
16045,19200,19200
16047,30800,30800
16049,117400,122200
16051,197700,221700
16053,83400,117500
16055,4500,6000
16057,120400,141000
16059,28600,28600
16061,102000,109400
16063,28300,32400
16065,109600,137600
16067,98100,172500
16069,116800,141100
16071,86900,86900
16073,46200,59300
16075,17800,19900
16077,112200,159500
16079,0,0
16081,59400,64700
16083,125500,165800
16085,3200,3200
16087,36900,39300
17001,294200,294200
17003,47700,47700
17005,151300,151300
17007,127400,127900
17009,79800,79800
17011,429900,429900
17013,44000,44000
17015,189400,189400
17017,146100,146100
17019,538800,538800
17021,382400,382400
17023,195000,195000
17025,185600,185600
17027,210700,210700
17029,240000,240000
17031,4700,4700
17033,182500,182500
17035,143000,143000
17037,329600,331500
17039,204000,204000
17041,231000,231000
17043,0,0
17045,335000,335000
17047,92200,92200
17049,190200,190200
17051,260400,260400
17053,283700,283700
17055,122000,122000
17057,268400,268400
17059,138500,138500
17061,223600,223600
17063,197800,197800
17065,159000,159000
17067,319800,319800
17069,11200,11200
17071,154800,154800
17073,408800,410000
17075,625100,625100
17077,119300,119300
17079,226200,226200
17081,160700,160700
17083,123500,123500
17085,159100,159100
17087,41200,41200
17089,146200,146700
17091,326800,326800
17093,138600,138600
17095,299500,299500
17097,15800,15800
17099,551100,552000
17101,164200,164200
17103,375500,376400
17105,595400,595400
17107,339700,339700
17109,259000,259000
17111,169600,170500
17113,636900,636900
17115,286600,286600
17117,354400,354400
17119,237300,237300
17121,178900,178900
17123,184700,184700
17125,205800,205800
17127,66400,66400
17129,149400,149400
17131,243000,244000
17133,148000,148000
17135,326500,326500
17137,261400,261400
17139,171600,171600
17141,348800,348800
17143,203100,203600
17145,154600,154600
17147,261000,261000
17149,281700,281700
17151,17900,17900
17153,61800,61800
17155,62700,62700
17157,195900,195900
17159,165400,165400
17161,116000,116000
17163,217500,217500
17165,111400,111400
17167,387900,387900
17169,127400,127400
17171,104600,104600
17173,351700,351700
17175,159500,159500
17177,262900,267100
17179,274100,274100
17181,51900,51900
17183,446000,446000
17185,103000,103000
17187,278200,278200
17189,285800,285800
17191,272700,272700
17193,221800,221800
17195,319000,319900
17197,207700,208500
17199,57700,57700
17201,148500,149600
17203,248200,248200
18001,159960,159960
18003,204240,204240
18005,135310,135310
18007,239000,239000
18009,78150,78150
18011,198190,198190
18013,5700,5700
18015,182590,182590
18017,185550,185550
18019,60180,60180
18021,126200,126200
18023,218350,218350
18025,13280,13280
18027,159600,159600
18029,28790,28790
18031,165560,165560
18033,121690,121690
18035,160330,160330
18037,120270,120270
18039,117460,117460
18041,79210,79210
18043,6980,6980
18045,177660,177660
18047,87030,87030
18049,171230,171230
18051,207090,207090
18053,178000,178000
18055,123020,123020
18057,119690,119690
18059,139060,139060
18061,79060,79060
18063,146300,146300
18065,170160,170160
18067,132530,132530
18069,161720,161720
18071,145840,145840
18073,268400,268400
18075,177900,177900
18077,70550,70550
18079,94300,94300
18081,101780,101780
18083,246840,246840
18085,204670,204670
18087,104600,104600
18089,114000,114000
18091,213550,213550
18093,64660,64660
18095,189130,189130
18097,18300,18300
18099,171240,171240
18101,34400,34400
18103,162200,162200
18105,23440,23440
18107,240410,240410
18109,94340,94340
18111,183200,183200
18113,136330,136330
18115,11000,11000
18117,52910,52910
18119,57150,57150
18121,134670,134670
18123,32330,32330
18125,75300,75300
18127,122240,122240
18129,186030,186030
18131,190560,190560
18133,146200,146200
18135,213960,213960
18137,109730,109730
18139,215100,215100
18141,134270,134270
18143,37770,37770
18145,199460,199460
18147,130700,130700
18149,97590,97590
18151,86610,86610
18153,149450,149450
18155,20460,20460
18157,198800,198800
18159,142700,142700
18161,67070,67070
18163,62840,62840
18165,81600,81600
18167,113030,113030
18169,177970,177970
18171,167700,167700
18173,83030,83030
18175,112400,112400
18177,137980,137980
18179,186900,186900
18181,258790,258790
18183,133380,133380
19001,231530,235830
19003,148120,150120
19005,146800,155800
19007,110400,110400
19009,215570,216770
19011,361050,362850
19013,254830,255430
19015,276470,277370
19017,204710,206310
19019,290460,291760
19021,314190,314790
19023,286990,288390
19025,312500,312500
19027,307570,308070
19029,259120,259120
19031,272000,272000
19033,288310,288910
19035,294000,294000
19037,245880,247780
19039,98730,103030
19041,294040,294840
19043,236100,243500
19045,321050,323050
19047,362620,362620
19049,252690,253490
19051,125800,128300
19053,102500,104500
19055,269100,269100
19057,147330,147930
19059,182120,182120
19061,202700,210100
19063,208070,208070
19065,316000,316000
19067,253160,254160
19069,314500,315300
19071,221330,221330
19073,298500,299300
19075,287340,287340
19077,218130,218130
19079,314880,314880
19081,311000,311800
19083,294310,294310
19085,306500,306500
19087,157140,158340
19089,229810,231910
19091,243190,243190
19093,224990,225690
19095,226780,230280
19097,194000,201100
19099,330660,330660
19101,139440,139440
19103,213570,216370
19105,239500,242700
19107,230520,230520
19109,547840,548840
19111,148250,149550
19113,265340,267240
19115,150660,151260
19117,86100,86100
19119,308770,309470
19121,166140,166140
19123,237770,239770
19125,169910,172510
19127,278310,279210
19129,192200,192200
19131,245800,247000
19133,325160,325160
19135,95100,95100
19137,185660,185660
19139,166910,168310
19141,315000,315700
19143,223000,223600
19145,231700,231700
19147,307020,309320
19149,433530,435130
19151,327000,327000
19153,159840,159840
19155,452770,454070
19157,270600,270600
19159,147800,150800
19161,312780,313480
19163,180500,180500
19165,320500,321100
19167,417950,419350
19169,287130,288130
19171,321330,324030
19173,182410,184210
19175,133940,137540
19177,106370,107970
19179,124180,125680
19181,158780,158780
19183,224000,226200
19185,139600,139600
19187,366370,367170
19189,210400,210400
19191,252740,262040
19193,391410,391410
19195,206890,207690
19197,315730,315730
20001,138000,138000
20003,167000,167000
20005,150900,150900
20007,156800,156800
20009,352800,352800
20011,83900,83900
20013,251900,251900
20015,256000,256000
20017,45700,45700
20019,29100,29100
20021,179500,179500
20023,208900,208900
20025,84200,84200
20027,241500,241500
20029,253300,255700
20031,157100,157100
20033,95600,95600
20035,210000,210000
20037,145800,145800
20039,238300,238300
20041,330500,330500
20043,157700,157700
20045,103000,103000
20047,240000,240000
20049,43100,43100
20051,169600,169600
20053,147900,147900
20055,364000,364000
20057,322100,322100
20059,149500,149500
20061,56400,56400
20063,249600,249600
20065,202100,202100
20067,92000,92000
20069,321300,321300
20071,240000,240000
20073,88600,88600
20075,189200,189200
20077,288100,288100
20079,247200,247200
20081,229000,234200
20083,134600,134600
20085,136500,136500
20087,129900,129900
20089,310500,313200
20091,40400,40400
20093,171600,171600
20095,251000,251000
20097,127000,127000
20099,166600,166600
20101,155300,155300
20103,71800,71800
20105,198100,198100
20107,110700,110700
20109,240400,240400
20111,185000,185000
20113,393800,397100
20115,327700,328500
20117,323100,323100
20119,110100,110100
20121,110500,110500
20123,294700,294700
20125,133900,133900
20127,137900,137900
20129,142100,142100
20131,250100,250100
20133,131800,131800
20135,192500,192500
20137,227100,227100
20139,162100,162100
20141,239200,239900
20143,226300,228900
20145,296800,296800
20147,217600,217600
20149,150700,150700
20151,254900,261500
20153,268800,268800
20155,441500,441500
20157,312700,314500
20159,317300,317300
20161,103600,103600
20163,211200,211200
20165,198200,198200
20167,160900,163100
20169,239300,241400
20171,280800,280800
20173,366100,366100
20175,175200,175200
20177,109100,109100
20179,267800,267800
20181,332300,332300
20183,286300,286300
20185,276500,276500
20187,202500,202500
20189,246100,246100
20191,604500,616000
20193,437700,437700
20195,182900,182900
20197,100500,100500
20199,177800,182000
20201,304700,304700
20203,238700,238700
20205,164500,164500
20207,102800,102800
20209,7300,7300
21001,53400,54480
21003,43500,46260
21005,18550,18730
21007,75800,75800
21009,107740,111180
21011,32150,33270
21013,1150,1150
21015,21750,22070
21017,52800,54740
21019,2650,2650
21021,33900,34190
21023,18250,19050
21025,1500,1500
21027,82300,84170
21029,18800,18800
21031,51500,51600
21033,64200,64600
21035,94800,96820
21037,9100,9100
21039,62600,62800
21041,13600,14030
21043,12600,12820
21045,48100,48980
21047,219050,223190
21049,38100,39020
21051,800,1090
21053,21000,21240
21055,57300,57300
21057,14600,14780
21059,164600,166770
21061,26650,26960
21063,7400,7400
21065,12020,12020
21067,28200,29520
21069,55000,56850
21071,0,0
21073,18300,18900
21075,87000,87000
21077,900,1340
21079,30800,32030
21081,27050,27430
21083,167200,168850
21085,59700,59700
21087,43400,45450
21089,11300,11450
21091,28200,28560
21093,104600,105220
21095,0,0
21097,44600,46230
21099,52700,54430
21101,167250,167710
21103,49150,51310
21105,100400,100400
21107,69700,69850
21109,15500,15790
21111,6500,6500
21113,21900,22260
21115,2300,2300
21117,10000,10130
21119,0,0
21121,7000,7000
21123,65800,66840
21125,27440,27710
21127,3700,3700
21129,3200,3200
21131,0,0
21133,0,0
21135,26200,26780
21137,58800,59650
21139,48900,48900
21141,193700,196160
21143,20400,20560
21145,43100,43100
21147,2550,2550
21149,101900,102540
21151,50500,51220
21153,3200,3200
21155,74500,75700
21157,27100,27100
21159,0,0
21161,48900,50850
21163,58600,58880
21165,5200,5200
21167,47800,48370
21169,38800,39970
21171,42000,42000
21173,27400,28470
21175,11620,11840
21177,52700,53270
21179,77800,78670
21181,28300,30250
21183,82000,82170
21185,8900,8900
21187,36200,37390
21189,3700,3880
21191,29050,30250
21193,600,600
21195,500,500
21197,6500,6500
21199,74700,75370
21201,8100,8340
21203,19820,20260
21205,11840,11980
21207,31700,32080
21209,32700,33810
21211,83300,85650
21213,115200,116200
21215,18600,19130
21217,50000,51120
21219,127750,129900
21221,74300,75590
21223,16200,17210
21225,155800,155800
21227,116200,117880
21229,53900,55080
21231,32900,33110
21233,79900,80100
21235,12400,12400
21237,6000,6000
21239,27000,28240
22001,37300,119500
22003,0,0
22005,0,13400
22007,0,36100
22009,115400,147800
22011,0,1900
22013,0,0
22015,9700,9700
22017,9400,19700
22019,2200,2200
22021,0,5500
22023,0,13200
22025,86800,123100
22027,0,0
22029,103600,144200
22031,0,0
22033,0,0
22035,144500,172000
22037,0,0
22039,900,49500
22041,120200,135300
22043,0,0
22045,3200,55400
22047,9000,41500
22049,0,0
22051,0,0
22053,15400,96800
22055,4400,15700
22057,0,26900
22059,0,0
22061,0,0
22063,0,0
22065,134700,179300
22067,137600,205000
22069,35900,38500
22071,0,0
22073,21800,29300
22075,0,0
22077,74200,110000
22079,47000,76900
22081,0,0
22083,86700,112800
22085,0,0
22087,0,0
22089,0,0
22091,0,0
22093,0,23800
22095,0,0
22097,109600,139700
22099,10000,40700
22101,0,42000
22103,0,0
22105,0,0
22107,89700,151700
22109,0,8300
22111,0,0
22113,5600,67900
22115,0,0
22117,0,0
22119,0,0
22121,6200,19100
22123,68000,69200
22125,0,0
22127,0,0
23001,0,0
23003,0,51100
23005,0,0
23007,0,0
23009,0,0
23011,0,0
23013,0,0
23015,0,0
23017,0,0
23019,0,1900
23021,0,0
23023,0,0
23025,0,0
23027,0,0
23029,0,0
23031,0,0
24001,1200,1200
24003,9400,9400
24005,38200,38200
24009,7800,7800
24011,113000,113000
24013,72700,72700
24015,52000,52000
24017,16400,16400
24019,92200,92200
24021,98300,98300
24023,6500,6500
24025,36300,36300
24027,14300,14300
24029,113000,113000
24031,35800,35800
24033,8200,8200
24035,134500,134500
24037,25000,25000
24039,40100,40100
24041,87500,87500
24043,39400,39400
24045,55000,55000
24047,79500,79500
24510,0,0
25001,0,0
25003,0,0
25005,0,0
25007,0,0
25009,0,0
25011,0,0
25013,0,0
25015,0,0
25017,0,0
25019,0,0
25021,0,0
25023,0,0
25025,0,0
25027,0,0
26001,900,900
26003,0,0
26005,130300,130300
26007,14200,14200
26009,3600,4400
26011,36700,39800
26013,0,0
26015,81000,81000
26017,105200,142500
26019,1200,1200
26021,90900,90900
26023,166400,166400
26025,163400,163400
26027,125000,125000
26029,2700,3200
26031,500,500
26033,0,1400
26035,8000,9100
26037,174000,174000
26039,0,0
26041,2900,2900
26043,0,800
26045,153100,154000
26047,0,600
26049,79600,79900
26051,16200,18300
26053,0,0
26055,8200,9900
26057,193000,205000
26059,156700,156700
26061,0,0
26063,218900,355400
26065,124400,124400
26067,158000,158000
26069,8700,8700
26071,0,0
26073,106100,108500
26075,106800,107500
26077,88000,88000
26079,0,0
26081,74600,75900
26083,0,0
26085,1200,1200
26087,97200,99700
26089,2600,2600
26091,252200,252200
26093,48700,48700
26095,0,0
26097,0,900
26099,43400,43400
26101,2400,2400
26103,0,0
26105,21800,23000
26107,25600,25600
26109,15400,15400
26111,48600,51700
26113,19500,21000
26115,161400,161400
26117,97800,101500
26119,4900,4900
26121,27000,27000
26123,34600,36200
26125,5300,5300
26127,20700,20700
26129,15500,18100
26131,0,0
26133,10500,11800
26135,600,600
26137,0,600
26139,78000,78000
26141,12700,15300
26143,0,0
26145,220200,235800
26147,112700,114000
26149,145200,145200
26151,288900,315500
26153,0,0
26155,169000,170700
26157,184100,245100
26159,64000,64000
26161,95200,95900
26163,4200,4200
26165,5000,5700
27001,62400,68200
27003,17100,17100
27005,215800,229600
27007,57300,62300
27009,115800,119400
27011,229600,229600
27013,354500,354500
27015,297000,302800
27017,42600,43300
27019,114500,116100
27021,54300,55900
27023,258300,294000
27025,68000,69700
27027,415700,463000
27029,69000,72200
27031,0,0
27033,334000,334000
27035,50300,53900
27037,144200,152200
27039,209100,210800
27041,175800,181100
27043,385900,386800
27045,300500,310500
27047,342300,342300
27049,281500,289800
27051,239300,256000
27053,38700,38700
27055,111200,118300
27057,26500,37500
27059,72400,73300
27061,30200,31700
27063,369500,369500
27065,67700,69500
27067,278900,300500
27069,273700,315000
27071,23100,24200
27073,357300,357300
27075,0,0
27077,26700,28100
27079,176700,178000
27081,239800,241100
27083,353000,353000
27085,217700,222600
27087,135000,138400
27089,476600,537100
27091,379600,381900
27093,241300,246400
27095,74100,75700
27097,205600,214200
27099,352500,358300
27101,356600,359300
27103,212400,212400
27105,387300,388600
27107,365100,414500
27109,208900,218300
27111,451800,476900
27113,203700,208800
27115,103300,106200
27117,228400,230800
27119,621700,773100
27121,225800,231500
27123,0,0
27125,146000,149900
27127,463500,469100
27129,464900,522700
27131,171500,174400
27133,247500,248900
27135,263300,270500
27137,53900,55500
27139,82300,84000
27141,51900,58000
27143,289700,296200
27145,425200,448800
27147,198200,202200
27149,270400,281000
27151,332700,348800
27153,187600,203800
27155,294800,304200
27157,152900,163300
27159,61800,67400
27161,208200,209000
27163,45000,46200
27165,234800,234800
27167,351800,400500
27169,138500,148600
27171,183900,186500
27173,376300,380000
28001,8300,8300
28003,18600,18600
28005,0,0
28007,5400,5400
28009,13900,13900
28011,289600,383100
28013,17700,32600
28015,21800,27900
28017,32800,37800
28019,0,0
28021,4000,4000
28023,0,0
28025,0,0
28027,164100,238200
28029,0,0
28031,2000,2000
28033,55700,59700
28035,0,0
28037,0,0
28039,700,5200
28041,500,500
28043,3600,3600
28045,0,0
28047,0,0
28049,21500,24800
28051,61000,82200
28053,117900,145900
28055,75900,75900
28057,12900,12900
28059,0,0
28061,0,0
28063,5900,5900
28065,800,800
28067,0,0
28069,0,0
28071,8600,12800
28073,0,0
28075,0,0
28077,0,0
28079,0,0
28081,49400,49400
28083,165700,219800
28085,0,0
28087,25000,30400
28089,31400,31400
28091,0,0
28093,30600,30600
28095,51100,52900
28097,6700,14000
28099,0,0
28101,0,0
28103,56600,61700
28105,0,0
28107,66800,79200
28109,0,0
28111,0,0
28113,0,0
28115,26600,28000
28117,23000,23000
28119,103500,147400
28121,7200,7200
28123,3600,3600
28125,111900,120700
28127,0,0
28129,0,0
28131,0,0
28133,254000,305500
28135,166100,194300
28137,28200,35200
28139,11300,11300
28141,4200,4200
28143,124400,181300
28145,20900,20900
28147,1200,1200
28149,34500,34500
28151,275900,319900
28153,0,0
28155,2600,12600
28157,0,0
28159,0,0
28161,0,5600
28163,115300,153800
29001,93300,93300
29003,139300,139300
29005,260000,260000
29007,295300,295300
29009,64100,64100
29011,186600,186600
29013,243100,243100
29015,74700,74700
29017,80900,82400
29019,108000,108000
29021,125300,125300
29023,138000,221400
29025,96200,96200
29027,132200,132200
29029,20000,20000
29031,155500,155500
29033,231300,231300
29035,10000,10000
29037,153200,153200
29039,48200,48200
29041,224800,224800
29043,53700,53700
29045,129500,129500
29047,55400,55400
29049,114900,114900
29051,55800,55800
29053,162800,162800
29055,26600,26600
29057,109800,109800
29059,52200,52200
29061,140200,140200
29063,102700,102700
29065,23000,23000
29067,38000,38000
29069,146100,289000
29071,108500,108500
29073,52100,52100
29075,121000,121000
29077,61800,61800
29079,111100,111100
29081,160100,160100
29083,138400,138400
29085,34000,34000
29087,188100,188100
29089,103800,103800
29091,48300,48300
29093,11000,11000
29095,70000,70000
29097,139900,139900
29099,29200,29200
29101,203300,203300
29103,138900,138900
29105,65300,65300
29107,232700,232700
29109,106200,106200
29111,133300,133300
29113,138200,138200
29115,139900,139900
29117,155700,155700
29119,39000,39000
29121,160300,160300
29123,21200,21200
29125,51400,51400
29127,128500,128500
29129,68900,68900
29131,50100,50100
29133,250700,250700
29135,87200,87200
29137,176500,176500
29139,141500,141500
29141,57700,57700
29143,268100,379100
29145,76500,76500
29147,307000,307000
29149,28100,28100
29151,71900,71900
29153,25000,25000
29155,177400,271200
29157,105900,105900
29159,216600,216600
29161,25800,25800
29163,170000,170000
29165,110400,110400
29167,98500,98500
29169,15000,15000
29171,75300,75300
29173,138900,138900
29175,94300,94300
29177,148300,148300
29179,11000,11000
29181,17000,27000
29183,98600,98600
29185,92900,92900
29186,62700,62700
29187,29200,29200
29189,11400,11400
29195,303900,303900
29197,54600,54600
29199,110800,110800
29201,200100,200100
29203,17000,17000
29205,174000,174000
29207,282900,393300
29209,23500,23500
29211,98300,98300
29213,14000,14000
29215,53100,53100
29217,200400,200400
29219,63100,63100
29221,22000,22000
29223,16200,16200
29225,71500,71500
29227,50600,50600
29229,58400,58400
29510,0,0
30001,102200,103800
30003,195200,204700
30005,291900,295100
30007,77900,77900
30009,70700,76800
30011,130000,133300
30013,272000,276000
30015,591300,598200
30017,106400,107800
30019,298300,355300
30021,252400,269700
30023,11300,11300
30025,130500,136900
30027,401300,407700
30029,42400,44600
30031,129700,136500
30033,198800,200900
30035,269600,280100
30037,63400,63400
30039,18100,18100
30041,471800,482400
30043,21000,21000
30045,195200,2e+05
30047,52400,53500
30049,61600,61600
30051,275500,286200
30053,6500,6500
30055,279900,300400
30057,55000,56200
30059,53600,54300
30061,2700,2700
30063,16100,16100
30065,67500,69000
30067,41800,42400
30069,45900,45900
30071,218500,224600
30073,299500,310200
30075,117000,117000
30077,33000,33000
30079,51000,52100
30081,21200,22000
30083,285500,312600
30085,408000,461200
30087,114100,116100
30089,20000,20000
30091,304200,465400
30093,4000,4000
30095,111100,111100
30097,38400,39100
