"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
36627.2393314032,33749.7196710412,33599.2118615613,217606.824907643,413554.915152216,428569.300342359,460404.579693397,468541.049367434,264550.508181938,75076.795970427,43671.0737347423,39048.4644041597
8739.47257584361,8063.61341305833,8080.14341501773,1321290.24825022,2722027.50299498,2640394.21327014,2732228.64889427,2734000.30115822,1331511.86598902,17111.5610609781,10248.5611583599,9266.6752882663
130929.861315169,120485.607023898,119175.13925422,138663.522709792,157432.495510529,262426.864449596,339301.646571765,370887.205331787,320897.651991107,280190.017030342,158636.939258958,140328.992617878
1123.89337173931,1046.12275035624,1092.92651853003,1116.74565984205,1188.76610320515,1440.39668854288,1667.88549667172,1751.09506611822,1596.82655855793,1517.10703583621,1171.75735677891,1148.65461388835
10188.8955024252,9513.18310673907,10080.8087547488,1108677.56218872,2281094.53561991,2208522.98011617,2282766.85461979,2283057.28941716,1110353.23722787,11561.3690245784,10153.829167518,10275.3221765928
6465.51650095155,6018.08531116947,6287.17336728553,176540.984686645,358413.026139745,348521.345288682,361172.352489553,361651.569905213,179305.848501239,8730.09781250432,6741.40417990473,6608.12051332818
1275.50492608474,1185.61760023413,1230.79311676305,1730.63532541669,2307.95418785356,2652.19159409044,2999.73564908972,3119.87864126552,2423.8050658906,1843.25051692556,1355.81512551698,1311.25670008818
5132.38088883425,4741.78576402753,4782.33609656129,5636.52756738605,6569.7793600683,9635.71864547569,11985.675105965,12926.2639431701,11063.2920283889,9577.21079897938,5917.68471330118,5412.27835874834
8531.15788128148,7957.80522517384,8396.04944668601,378141.967608156,772982.828424283,749313.072467213,775073.227174137,775436.270670849,380236.561407091,10246.749783973,8622.96888189752,8639.19122399105
512.482542192617,471.525244872304,466.021373179301,539.621451948611,609.814451270369,1025.21180380575,1328.66201924787,1453.50563327127,1259.91161590425,1102.44130818294,622.158341693901,549.633112471456
9178.18793653494,8465.76062249091,8470.21973925469,595756.419223895,1222159.61881609,1189364.62670192,1233113.30826532,1235015.65618809,606732.090730314,18167.8895066384,10805.247881743,9744.28265233308
2630.28064590903,2432.12045729556,2462.74618701065,377572.225489273,777711.179393655,754192.537744064,780303.273843474,780753.447779397,380169.521799952,4757.61460524649,3000.52483915292,2764.2419908689
8030.15333695155,7481.77783516947,7851.81020328553,46663.5092596453,88434.9400879454,87252.2297546815,91194.2664377529,91673.4838534133,49428.3730742394,10294.7346485043,8255.56885990472,8172.75734932818
1621.57102190392,1499.50745280212,1518.88861161137,2914.9632095382,4418.33208016098,5237.33747286209,6007.03513005014,6282.94818755159,4506.85449672873,2925.42086794946,1848.18960714211,1703.67636236319
17237.5803739573,15911.1769079385,15976.2660619701,20365.4579983274,25043.2203099431,36046.4954510314,44558.2851454256,47947.5032919337,39919.6860101201,33253.6094758639,20107.7737689904,18246.1332577161
0,0,0,0,0,0,0,0,0,0,0,0
477.000035070613,444.903609749213,469.217789237914,468.927763468158,493.303129889253,550.264147644285,613.710097880852,634.621403291489,589.576366286809,575.818128665643,482.752692541297,483.222755610684
88911.1972139537,81812.9990869198,80894.9221605507,95849.1402901406,110398.472400669,181902.735159587,234426.34231341,255966.496595485,220125.911519772,190700.96787145,107818.568317749,95321.0486247219
18380.4400627287,16937.0931279192,16864.8012197774,19325.6910909858,21790.260648253,35279.9999119287,45240.2366029166,49312.8381910096,42822.7268709958,37625.8538235904,21904.616224287,19592.3520431669
8249.17802698303,7663.7165265933,7935.72645872154,35078.4152943008,64293.9744515783,65155.1789373948,69143.6995512399,69985.9604636127,39937.8729078298,12229.3512412273,8834.53787930224,8499.81538206923
85420.8896711439,77372.1232643269,78729.0814315764,135743.716974559,199240.516007798,244816.548904707,287359.634500051,301886.062383309,222328.429392096,153257.067319616,96185.0105099047,90176.5328565397
2444.74505625,2287.01956875,2444.74505625,8384.6869155,14883.60790245,14403.4915185,14883.60790245,14883.60790245,8384.6869155,2444.74505625,2365.8823125,2444.74505625
6582.60085612039,6101.71182964874,6251.79451431878,8043.94445938323,10091.9562579009,12864.1254334813,15210.194548622,16099.0886537302,13172.4541209794,10783.1430580421,7268.86390922137,6847.1151701331
148.466835294016,136.601454886467,135.006976353348,156.329011491401,176.664011439905,297.005145513622,384.915053553076,421.0824051304,364.997975468926,319.378629802765,180.240051978881,159.229402102768
5317.68195229793,4910.77139483701,4941.97241737486,6067.09913854609,7278.23676804228,10561.6507740491,13091.2176116367,14100.7689672947,11891.7455746243,10088.3999153024,6166.72423713262,5618.1010717047
4931.50911889779,4547.92984846123,4546.48199561513,14787.1295259573,25687.2254639406,28464.0523057714,31644.3681070323,32678.9563145279,20756.2270679746,9820.5407844493,5818.31896411184,5239.37862598385
932.353389047627,859.346548367349,856.692665674166,973.393840107094,1090.85569978441,1764.16424181944,2261.47899970273,2464.7833578617,2146.36636751065,1893.08485455486,1107.80287276261,992.852060964986
1238.09487513566,1157.22246943024,1232.23673824389,1203.6626145336,1250.36713731553,1264.88911431638,1341.00427682273,1356.74539992712,1294.48164625098,1312.48084701424,1214.06942109953,1242.77906907487
3538.69465507345,3299.56650324115,3474.98036162099,3484.430681476,3672.17028534634,4150.34259959929,4657.95832870308,4829.16199896097,4472.19702166505,4347.73167974202,3597.61723544276,3589.64090517735
9234.61956016923,8501.11315349848,8424.01451440318,10039.3339075895,11636.8497321504,18852.0847882968,24178.5372986473,26356.6758519418,22606.1903538997,19527.5924375544,11138.6626938421,9882.78318499068
3577.36706690392,3329.12310780212,3474.68465661137,57954.8493275382,116211.634012361,113424.403858862,117800.33706225,118076.250119752,59546.7406147287,4881.21691294946,3740.89545714211,3659.47240736319
24135.3386636786,22462.5249580561,23454.3921533175,1460447.00445246,2994225.56024491,2904014.11586688,3004761.16994417,3006590.90916761,1471003.7571991,32781.9218532438,25206.5079473635,24679.8267109349
9308.2697166585,8695.40499131459,9235.69200455152,9076.22147989983,9460.31340014489,9834.76969354712,10583.2363257932,10778.2564699138,10201.397907081,10229.8534473813,9205.15363441412,9366.30319819951
12939.6499533791,12038.0737809059,12546.7203680213,13005.1335748281,13997.4971016978,17225.4116986128,20076.9066994191,21132.7292397157,19096.7434389561,17929.0262050265,13589.5989866476,13253.8383064808
8130.55067183447,7592.22686922937,8049.49195414798,16461.6413139428,25902.5256930409,25826.005345976,27156.6668029129,27374.4758567742,17718.2992563141,9159.82526984072,8088.46339851073,8195.36560551084
28857.6887689369,26965.6273730248,28679.4990708944,28207.8451500255,29465.6754503018,30183.762667874,32222.6278429498,32701.4329689893,30970.330243361,31120.3217719765,28410.8315164472,29000.1700934639
8311.46721062162,7737.59670716509,8089.88937788506,37664.2736341351,69561.7936278079,69392.7501481498,72990.0475775687,73585.4389121771,41099.4074643883,11125.0379310357,8645.25117791193,8488.64189266532
26973.2544471676,25096.2304571061,26168.0081769786,628626.928746747,1272311.76099175,1238809.88311397,1284770.53754088,1286934.27678129,641110.707788399,37198.1821872089,28290.5269310092,27617.1331697166
3084.92757668572,2876.03908621479,3026.88925180137,5992.58731989748,9308.59623119231,9551.79780213419,10206.5656447611,10362.5176878177,6892.35879432337,3821.89178262522,3143.06955792623,3131.33529550279
813.130019505109,749.651438993442,748.277970899285,847.856904734652,948.989142993777,1525.66010620237,1952.38054292377,2126.64142134574,1853.26192822341,1636.61413279703,963.064647010809,864.986024005702
11107.7104753377,10375.1360493583,11013.845667889,17992.052419076,26090.1667811234,26127.5114842443,27542.4438112986,27794.6635044393,19447.24390441,12299.5953794055,11004.3723545621,11182.7652188985
1032.50878416951,962.041564201009,1009.82676882052,1020.52173069285,1080.02553638502,1257.58351902175,1430.96185410403,1491.90962682777,1372.16231360392,1320.52249690308,1060.81565871529,1050.6454308184
4014.92061700738,3740.74533765607,3925.76319764878,5786.20708502794,7956.82568053651,8535.03624027766,9336.26996560635,9575.84065842594,7168.41966321911,5147.03162972445,4127.59498208868,4086.21131080831
120364.581158155,106408.24639455,114406.875972402,249319.134926469,407280.927434249,410522.396761763,442463.920133657,445700.245295114,278246.312286429,132664.842758909,115444.747057665,122928.108165613
12937.06755662,11978.4590202387,12207.4820098045,228406.16290764,459213.503328867,451232.104069152,470501.65657808,472462.091460327,239716.969421888,22201.2638311541,14501.5948632466,13520.4476072516
658.297031831137,607.192610806003,607.481991351247,684.824616335709,764.749904300906,1215.91959113483,1550.96060543884,1687.50330195249,1472.61309897553,1303.54077433517,775.096029702193,698.928978307325
1705.33454643619,1578.08292953485,1603.92374484445,1745.64359092559,1917.78092111091,2805.54173539394,3486.80963130054,3759.3058090892,3317.82105560469,2993.03764637328,1925.79687436018,1786.42310256974
7981.93120463184,7407.28393015198,7630.64927468363,659107.590967604,1354227.2819084,1313831.98325855,1359662.31865802,1360606.23174947,664553.534844835,12442.4701516297,8678.67462193355,8262.81789567672
1008.80121387117,929.68470889405,926.20980502571,1053.89001867563,1181.82267818357,1917.09669498954,2459.6775975761,2681.60507349897,2334.30935985865,2057.53775405389,1200.61120866187,1074.84169464044
56885.5017276955,50314.3043121987,53836.5998407348,497433.36570154,976890.13223367,955792.265313657,997834.540376779,1000149.42989227,515508.466427064,66447.2425285491,55407.8153833236,58310.8760355114
4396.84034745648,4099.67368651711,4317.38609863592,170812.095398306,348626.929984211,338124.920515124,349856.246739323,350069.744500635,172043.879167964,5405.74157793204,4470.83695048692,4460.3723402463
122582.23574229,114632.239750606,122338.187243788,119311.609863255,124032.277176601,122316.539733855,127808.197441678,128463.968641521,123095.107711718,125681.136481887,119290.905383782,122777.378074857
6669.80815903576,6162.36790045409,6215.84381879499,1588350.65128414,3275990.70874386,3174564.57372042,3283014.44854337,3284234.27469232,1595388.48644856,12434.1969520792,7687.80545407566,7032.80019053991
7255.34004097258,6750.81175902448,7040.85438665814,7222.89996793828,7704.66791299041,9464.60344976421,11023.1916230977,11599.5258998593,10548.0833499577,9978.85506715933,7603.9273759448,7426.84378363835
5622.92041755191,5193.12166789761,5228.40378853315,1775113.78552359,3663005.68248411,3548538.51691252,3669109.64683368,3670169.73384408,1781229.99941648,10632.4487734111,6513.20404244076,5938.37777826385
97.78980225,91.48078275,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225,97.78980225,94.6352925,97.78980225,94.6352925,97.78980225
2443.87207258669,2257.59697966344,2275.50617691829,2523.2909435062,2796.58325908942,4282.97233453895,5401.54170507456,5853.94975549414,5133.47706604588,4581.76352372334,2822.38796716625,2578.49823831652
3617.55670262162,3346.51913516509,3395.97886988506,174961.155993135,358002.594344408,348529.00890615,361430.848294169,362026.239628777,178396.289823388,6431.12742303567,4102.75713791193,3794.73138466532
9813.58290837894,9032.29981542542,8941.6240799664,10316.6026995347,11640.2570797126,19429.907493317,25131.210848035,27474.2102544302,23834.630351827,20885.6193062834,11865.6117152676,10510.8053077101
2416.64433445033,2225.01385187854,2206.4192370706,2536.28656157533,2857.04672850461,4733.46070018916,6109.65106861363,6674.53700395856,5795.41828544212,5086.05928168926,2909.74521646089,2584.74131565937
19483.6157332815,18203.6528931738,19348.507298686,667309.567371156,1359643.41008248,1317049.11923321,1361733.80883234,1362096.85232905,669404.16117009,21199.207635973,19222.1216418975,19591.649075991
118676.520736675,109527.930090986,117032.975913534,203400.69138799,304623.435384567,300957.930293401,316704.676181745,318129.786812741,214024.57956396,124710.000780235,115279.841877816,119475.418369454
32214.3801135783,30057.066524828,31749.6070985699,2417670.62110452,4964375.72134465,4808586.76757604,4971566.69304415,4972815.56267284,2424876.02377285,38116.016258837,32437.7197298275,32586.0148124992
