"collection","colid","area","lat","lon","elev","MAXCAP","ST"
"reservoir","172",NA,48.04,-89.9967,NA,3.79665144e7,"MN"
"reservoir","943",NA,43.5433,-95.6367,NA,1.766220012e7,"MN"
"junction","7915-dn",NA,38.0458,-102.1375,NA,2.5206373491600003e9,"CO"
"junction","20772-dn",NA,47.5958,-96.8542,NA,2.0420323073799999e9,"ND"
"junction","1600-up",NA,30.7208,-84.8708,NA,1.27572669e9,"GA"
"junction","8806-up",137.26947,38.3208,-122.2792,NA,5.4612327e7,"CA"
"junction","4210-dn",9331.73397,34.2125,-99.1542,NA,3.1053105696e8,"TX"
"junction","15600-up",NA,42.7708,-72.4875,NA,3.145374e8,"NH"
"junction","7237-up",NA,37.0542,-111.2375,NA,5.308157832000001e9,"CO"
"usgs","021973269",NA,33.149873,-81.754835,NA,3.5914127028e9,"SC"
"junction","19515-up",NA,46.1625,-98.1125,NA,7.260633324e8,"ND"
"junction","18638-dn",NA,45.2625,-66.0792,NA,1.34202624e8,"ME"
"rivdis","376",NA,30.43,-94.85001,NA,1.6376881889800001e10,"TX"
"junction","13393-dn",NA,41.4125,-112.8292,NA,9.7952003628e8,"UT"
"junction","20083-dn",NA,46.8125,-71.1958,NA,6.025451121600001e8,"VT"
"junction","15742-up",1165.4955,42.8708,-72.5542,NA,1.115559312e8,"VT"
"junction","8079-dn",NA,37.8042,-88.0208,NA,2.189556515e9,"IN"
"junction","15651-dn",NA,42.8375,-98.1542,NA,4.0351510887479996e10,"WY"
"reservoir","567",18996.281655,43.6666,-72.3034,NA,3.3581493e8,"VT"
"junction","13782-dn",745.9171200000001,41.4875,-74.9875,NA,5.179752564e8,"PA"
"usgs","02479310",NA,30.61056,-88.64139,NA,1.45797336e7,"MS"
"reservoir","1881",NA,36.5966,-78.2967,NA,6.0901718172e9,"VA"
"reservoir","1508",191.65926,37.73,-122.122,NA,7.9806156e7,"CA"
"reservoir","1847",NA,37.9283,-87.375,NA,7.17391968e8,"KY"
"junction","13860-dn",NA,41.4375,-72.0958,NA,1.6092226776e8,"CT"
"usgs","04271500",56.97978,45.000038,-73.500972,NA,1.110132e8,"NY"
"junction","12364-up",NA,40.5708,-102.1792,NA,4.448915664e7,"CO"
"junction","10610-dn",NA,39.5958,-78.0042,NA,1.253955768e7,"VA"
"junction","9149-dn",8189.54838,38.6958,-118.7125,NA,1.134246534e8,"CA"
"usgs","11467000",608.64765,38.508523,-122.927774,NA,7.4563866e8,"CA"
"usgs","12419000",9744.319377,47.702957,-116.977975,NA,3.03189384e9,"ID"
"junction","8303-dn",NA,37.9875,-122.3625,NA,1.8119697854e8,"CA"
"usgs","01425000",1175.85546,42.074806,-75.396009,NA,5.55066e8,"NY"
"junction","5323-up",NA,35.1958,-77.1125,NA,5.3587551815999997e8,"NC"
"usgs","02341505",12095.2533,32.453199,-84.99521,NA,3.947136e7,"GA"
"junction","7586-dn",NA,37.2708,-76.8792,NA,2.220264e7,"VA"
"reservoir","2411",158973.58620000002,32.8964,-107.292,NA,3.640661859e9,"NM"
"junction","11464-up",NA,40.0292,-95.3958,NA,8.529063979879998e9,"CO"
"junction","940-dn",NA,28.6542,-95.9542,NA,1.503426851304e10,"TX"
"usgs","02073000",549.07788,36.661249,-79.880595,NA,3.97057212e8,"VA"
"usgs","11114000",NA,34.242227,-119.18983,NA,9.2860568238e8,"CA"
"junction","14651-dn",NA,42.1958,-90.3125,NA,1.2543998208e8,"IA"
"junction","1152-up",NA,29.8625,-93.8542,NA,1.0648725350619999e10,"TX"
"junction","1442-up",7692.2703,30.4542,-89.7542,NA,5.5753296e8,"MS"
"canal","09428500",20.71992,34.16779378,-114.2766175,NA,3.25762068e7,"CA"
"junction","20922-dn",NA,47.6708,-122.4125,NA,5.6493384e8,"WA"
"junction","10988-dn",NA,39.8042,-118.6458,NA,1.030819236e9,"NV"
"reservoir","728",NA,43.1783,-116.973,NA,7.8202632e6,"ID"
"reservoir","1173",NA,41.6666,-86.1317,NA,1.9175680080000002e7,"IN"
"junction","3702-dn",NA,33.8792,-95.9375,NA,8.54245710536e9,"TX"
"junction","11124-up",20.460921,39.8042,-77.7625,NA,9.2387652e6,"PA"
"junction","16585-dn",678.57738,43.8292,-73.3958,NA,2.81110092e9,"NY"
"junction","16927-dn",NA,44.0792,-116.9792,NA,1.876493124e9,"OR"
"reservoir","1089",NA,42.5416,-90.6417,NA,8.0422896e8,"WI"
"junction","7192-up",94.793634,37.0125,-107.3958,NA,1.793849964e7,"CO"
"junction","4736-dn",NA,34.8958,-88.0958,NA,2.095638361414e10,"TN"
"junction","7868-up",88.05966,37.5875,-88.1375,NA,1.023072982e8,"IL"
"junction","4186-up",NA,34.1542,-119.0708,NA,1.5665196e7,"CA"
"reservoir","2241",20.71992,33.1666,-117.003,NA,9.9418488e6,"CA"
"junction","19576-dn",NA,46.2292,-119.1375,NA,2.0799797028480003e10,"WA"
"reservoir","130",38590.851,48.6067,-93.4017,NA,4.93392e9,"MN"
"junction","19121-dn",5255.08971,45.7708,-96.6375,NA,2.189427e8,"MN"
"reservoir","383",NA,44.995,-74.8651,NA,1.0780713878400002e9,"NY"
"usgs","09400350",NA,35.011688,-110.651244,NA,1.0958483016e8,"AZ"
"junction","4001-dn",507.63804,33.9792,-82.5792,NA,3.1638762e7,"SC"
"usgs","03553500",554.25786,34.965362,-84.090189,NA,2.14995564e8,"GA"
"usgs","09396100",NA,35.182246,-109.447051,NA,3.9348012e7,"NM"
"usgs","13176000",282.30891,41.921108,-116.069558,NA,1.1471364e8,"NV"
"usgs","11046000",NA,33.311144,-117.34726,NA,1.53938304e8,"CA"
"junction","13824-dn",NA,41.5208,-124.0458,NA,4.8467869728e9,"CA"
"reservoir","1413",NA,39.7016,-78.6617,NA,1.236933744e7,"MD"
"reservoir","2593",266.76897,30.7083,-88.3417,NA,1.6837002e8,"AL"
"usgs","12101500",NA,47.208434,-122.327065,NA,7.19612232e7,"WA"
"junction","21826-dn",145.03944,48.7458,-122.4958,NA,9.497796e7,"WA"
"usgs","06306250",63.195756,44.983863,-106.839789,NA,1.69356804e7,"WY"
"usgs","14211720",NA,45.518452,-122.667874,NA,3.2577193584000006e9,"OR"
"usgs","04260500",NA,43.985616,-75.924646,NA,2.2651380023999998e8,"NY"
"junction","15298-up",2540.78019,42.5542,-124.0625,NA,7.43911788e8,"OR"
"junction","14162-dn",3771.02544,41.7792,-85.7792,NA,2.48361198e7,"MI"
"reservoir","2014",438485.307,35.1966,-114.568,NA,2.61621108e9,"AZ"
"reservoir","2255",924.62643,33.045,-117.128,NA,1.24211436e8,"CA"
"usgs","04063000",NA,45.951064,-88.187077,NA,5.6616732e7,"WI"
"junction","206-dn",NA,26.5042,-97.5708,NA,4.44607866e7,"TX"
"reservoir","474",3501.66648,45.99,-88.2101,NA,3.305047986e8,"MI"
"junction","14458-dn",1812.993,41.9958,-77.1208,NA,5.50378776e8,"PA"
"junction","8730-dn",NA,38.4042,-82.5542,NA,1.23313832604e9,"WV"
"usgs","03180000",11919.13398,37.645397,-80.883698,NA,7.7832588e8,"WV"
"junction","3801-dn",499.86807,33.7375,-118.1125,NA,1.396546056e7,"CA"
"junction","2644-up",NA,32.5292,-114.8042,NA,1.0969859401699999e10,"CA"
"reservoir","412",202.01922,46.4267,-90.2267,NA,6.78414e7,"WI"
"usgs","02304510",NA,28.02113,-82.43454,NA,2.713656e7,"FL"
"reservoir","1546",64353.481530000005,39.47,-81.4917,NA,3.8113791912000006e8,"OH"
"reservoir","293",2600.34996,44.775,-70.9217,NA,5.0396292352e8,"ME"
"usgs","02313230",NA,29.009975,-82.61677,NA,5.6616732e8,"FL"
"junction","13843-dn",NA,41.5208,-90.5292,NA,7.40088e7,"IL"
"junction","4563-dn",NA,34.6375,-88.1458,NA,9.4114524e7,"AL"
"usgs","05292000",3004.3884,45.295521,-96.444223,NA,2.528634e8,"MN"
"junction","7586-up",36.25986,37.3292,-76.8792,NA,3.964774764e7,"VA"
"usgs","13213000",NA,43.781667,-116.972778,NA,1.603955718e9,"ID"
"reservoir","42",117357.62688,48.18,-117.0,NA,3.27612288e9,"ID"
"junction","22603-dn",NA,56.9375,-92.7458,NA,4.9545561203999996e8,"ND"
"junction","10231-dn",NA,39.3292,-77.7375,NA,4.31718e7,"MD"
"reservoir","717",72.51972,42.2167,-122.37,NA,9.4607916e7,"OR"
"usgs","01595800",NA,39.445111,-79.110806,NA,2.316228744e8,"WV"
"junction","17844-up",774.4070099999999,44.5875,-71.5375,NA,3.0281934e8,"NH"
"junction","3638-up",NA,33.6125,-79.1042,NA,1.70216169516e9,"SC"
"reservoir","183",22.7142123,45.0,-67.2234,NA,1.45057248e7,"ME"
"reservoir","1306",NA,39.8283,-76.3367,NA,2.8549881384199996e9,"PA"
"usgs","13342500",6319.5756,46.448498,-116.827375,NA,4.25920644e9,"ID"
"junction","6045-up",43340.89266,35.9042,-76.7292,NA,7.34784036e8,"NC"
"usgs","05545750",NA,42.610851,-88.225923,NA,1.20510996e8,"WI"
"usgs","01461300",NA,40.411389,-74.986667,NA,5.4237595776e8,"PA"
"reservoir","138",18647.928,48.505,-92.6367,NA,8.665197e8,"MN"
"junction","21580-dn",10385.8599,48.5292,-121.7458,NA,2.9486758783e9,"WA"
"junction","161-dn",NA,26.3125,-97.7208,NA,9.67418364e6,"TX"
"junction","16849-dn",NA,43.7875,-91.2542,NA,2.20299528e8,"WI"
"usgs","12113350",NA,47.4651,-122.248455,NA,2.1848877936e8,"WA"
"reservoir","521",NA,43.575,-70.56,NA,2.1616737e8,"NH"
"junction","10008-dn",NA,39.2708,-81.5708,NA,5.6542118794800005e9,"WV"
"reservoir","1190",NA,41.6516,-87.5667,NA,1.3198236e7,"IL"
"canal","08258000",142.44945,36.96557787,-105.5191756,NA,1.941374172e7,"NM"
"junction","6755-up",NA,36.5875,-89.2125,NA,4.688374220104e10,"TN"
"reservoir","133",354.82863,45.6633,-67.735,NA,1.97726844e8,"ME"
"junction","1767-up",NA,31.0375,-85.8542,NA,1.110132e7,"AL"
"junction","17421-dn",NA,44.2792,-76.0292,NA,1.2746187978173993e11,"WI"
"junction","7948-dn",NA,37.6708,-89.4125,NA,6.085496928e7,"IL"
"reservoir","1448",NA,39.7283,-79.9117,NA,4.35665136e8,"WV"
"reservoir","2421",NA,32.6628,-85.0909,NA,4.34086404948e9,"GA"
"reservoir","1607",101786.607,39.1183,-81.7401,NA,1.0977972e7,"WV"
"usgs","05476000",NA,43.619403,-94.98638,NA,1.7377019544e8,"MN"
"junction","11146-dn",NA,39.8542,-91.4375,NA,5.0819376e8,"MO"
"junction","14695-dn",NA,42.1208,-90.0958,NA,2.734501812e7,"IL"
"junction","14277-dn",NA,41.9708,-83.6208,NA,1.0104298116e8,"MI"
"junction","14632-dn",655.26747,42.0958,-112.6792,NA,8.1286332e6,"ID"
"junction","13422-dn",NA,41.1958,-73.1125,NA,7.312007766e8,"CT"
"junction","3011-dn",2.58999,32.9292,-117.2625,NA,1.017621e7,"CA"
"junction","13497-up",NA,41.2875,-109.5292,NA,8.382668406e8,"WY"
"junction","2165-up",NA,31.7458,-91.3708,NA,3.0380374338359997e10,"AR"
"junction","12313-dn",295.25886,40.5542,-84.7458,NA,2.5224666e8,"OH"
"reservoir","332",56.97978,44.2333,-69.1,NA,1.160951376e7,"ME"
"junction","9553-dn",NA,38.9708,-90.4375,NA,1.93419408488e9,"MO"
"usgs","04067500",NA,45.325809,-87.663446,NA,4.79021958e7,"WI"
"junction","12483-up",NA,40.6375,-95.0125,NA,3.12193788e7,"IA"
"usgs","01054000",3260.79741,44.435792,-71.190178,NA,4.1753298e8,"NH"
"junction","19493-up",NA,46.1458,-100.6208,NA,6.710995992828e10,"WY"
"usgs","05490500",NA,40.727806,-91.959617,NA,3.23726702652e9,"IA"
"junction","128-up",NA,26.0542,-97.7958,NA,1.122960192e7,"TX"
"junction","10842-dn",70546.14762,39.5708,-76.0958,NA,4.90678344e8,"PA"
"junction","9676-dn",NA,38.9958,-95.0208,NA,1.07151396146e10,"KS"
"junction","17227-dn",NA,44.2375,-116.9708,NA,1.4943819891599998e9,"ID"
"usgs","01021200",NA,44.901489,-67.247619,NA,8.033161848e7,"ME"
"usgs","06755960",64.74975,41.131093,-104.82858,NA,7.1295144e6,"WY"
"usgs","02181580",694.1173200000001,34.732039,-83.37572,NA,1.7145372e8,"GA"
"junction","21239-dn",797.71692,48.1458,-123.5625,NA,9.991188e6,"WA"
"junction","18945-dn",NA,45.7375,-120.6542,NA,2.66505442104e9,"WA"
"usgs","07307028",NA,34.507021,-99.208139,NA,4.637021364e8,"TX"
"junction","582-dn",NA,28.1542,-100.0958,NA,6.979769928e9,"TX"
"reservoir","2363",139.85946,34.03,-97.0634,NA,9.4731264e7,"OK"
"junction","20033-dn",NA,46.8458,-67.9458,NA,1.319576904e8,"ME"
"junction","12644-dn",NA,40.9542,-102.3875,NA,3.2659553043999996e9,"CO"
"usgs","11105500",NA,34.077785,-118.701753,NA,1.2797355e7,"CA"
"junction","6216-up",NA,36.0792,-114.7375,NA,3.566051860608e10,"UT"
"usgs","11152500",1983.9323399999998,36.631071,-121.672446,NA,1.265180436e9,"CA"
"junction","18474-dn",9199.644479999999,45.1708,-67.2042,NA,1.0750000226399999e9,"ME"
"usgs","09234500",NA,40.908293,-109.422914,NA,4.955752596e9,"UT"
"reservoir","730",554.2578599999999,42.8,-72.9167,NA,2.9973564e8,"VT"
"reservoir","996",90.64965,41.2483,-73.35,NA,5.180616e7,"CT"
"usgs","01096500",297.84885,42.667589,-71.575068,NA,2.9773493544e8,"MA"
"canal","02307498",155.3994,28.05362833,-82.7109336,NA,3.0096912e7,"FL"
"usgs","10346000",NA,39.427964,-120.034087,NA,5.078360508e8,"CA"
"junction","14147-up",221742.770847,41.7375,-90.3125,NA,2.548739724e8,"IL"
"usgs","11047300",NA,33.49836,-117.665884,NA,7.4872236e6,"CA"
"junction","14653-up",489.50811,42.0875,-79.1458,NA,5.4396468e8,"NY"
